document_id,contract_year,cola_strict,cola_broad
3129,2002,0,0
1114,2002,0,0
4316,,0,0
121,2000,0,0
434,,1,1
1401,2003,0,0
1952,2012,0,0
2503,2019,0,0
2016,2009,0,0
3484,2007,0,0
526,,0,0
1456,2001,0,0
3191,2007,0,0
224,,0,1
2578,2019,0,1
1704,2004,0,0
731,2008,0,0
3369,2004,0,1
3943,,0,0
2651,2003,0,0
418,2002,0,0
2939,,1,1
1303,2002,0,0
766,2005,0,0
3502,,0,0
635,2004,0,0
2539,2019,0,0
3328,,0,0
320,2000,1,1
2610,2003,0,0
459,,0,1
1483,2014,0,0
1179,2004,0,0
3514,2015,0,0
14,,0,0
1207,2004,0,0
232,2012,0,0
4005,2017,0,0
4510,,0,0
2094,2015,0,0
3406,2004,1,1
3056,2003,0,1
1968,2011,0,0
3955,2021,0,0
2702,,0,0
3810,2022,0,0
3407,2000,0,0
1986,2014,0,0
3542,2015,1,1
3112,2005,0,0
233,2012,0,0
4454,,0,0
3391,2003,0,0
663,2003,0,0
3684,2011,0,0
376,2007,0,0
1343,1997,0,0
726,2002,0,0
3000,2011,0,1
3450,2005,0,1
1197,2019,0,0
3515,2013,0,0
4403,,0,0
634,2007,0,0
1601,2011,0,0
264,2002,0,1
1251,1998,0,0
2168,2014,0,0
4546,,0,0
321,2003,0,1
3503,2011,0,0
1494,2001,0,0
788,2004,0,0
622,2000,0,0
3942,2020,0,0
3104,,0,0
3554,2013,0,0
3807,2022,0,0
2715,2004,0,0
54,2000,0,1
3387,1997,1,1
2579,2019,0,1
2083,2000,0,0
3368,2004,0,0
874,2008,0,0
1841,2007,0,0
1904,2000,0,0
1007,2002,0,0
3190,2004,0,1
2851,1999,0,0
1791,2008,0,0
2017,2009,0,0
2739,,0,0
435,2008,0,0
1050,2016,0,0
966,2005,0,0
1729,2009,0,0
2943,,0,0
136,2015,0,0
835,2001,0,0
3978,2019,0,0
5,,1,1
4244,2019,0,0
2543,2013,0,0
2810,,0,0
1695,2004,0,0
3647,2000,0,0
3217,2003,0,0
2778,2005,0,1
531,2004,0,0
161,2003,0,0
3186,,0,0
474,2005,0,0
1441,2001,0,0
3885,2022,0,0
3240,2010,0,1
2975,2005,0,0
2076,2011,0,0
2563,2019,0,0
680,2009,0,0
1436,2001,0,0
403,,0,0
116,2002,0,0
1123,2020,0,0
2021,2009,0,0
2867,2003,0,0
2164,2013,0,0
1031,2002,0,0
1932,2008,0,0
19,2002,0,0
3519,,0,0
511,,0,0
3149,2003,0,0
141,,0,0
2934,2004,0,0
3276,2003,0,0
2871,2003,0,0
3333,2003,0,0
1477,2002,0,0
157,2003,0,0
507,,0,1
3671,2021,0,0
2963,2002,0,0
1359,2004,0,0
415,2005,0,0
1070,2002,0,0
946,2000,0,0
58,2006,0,0
2719,2001,0,0
3558,,0,1
1565,2004,0,0
1322,2001,0,0
747,2003,0,0
1288,2011,0,0
1267,2000,0,0
2762,2014,0,0
3523,2015,0,0
1725,2004,0,0
710,2004,0,0
4527,,0,0
4198,2019,0,0
593,2003,0,0
3061,2016,0,0
213,2007,0,1
2959,2003,0,0
1676,2006,0,0
62,2005,0,0
993,2003,0,0
2689,1999,0,0
3831,,0,0
585,2004,0,0
2666,2006,0,0
2148,2014,0,0
1764,2004,0,0
3309,2003,0,1
301,,0,1
497,2008,0,0
35,2003,0,0
881,2008,0,0
3470,2015,0,0
